date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:27	454056/454056	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/bucket_list.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/bucket_list.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:29:39	289208/289208	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/Oggatonama%203.0-100.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/Oggatonama%203.0-100.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:30:25	1495956/1495956	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/3%20idiots.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/3%20idiots.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:30:31	680049/680049	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/jack%20sparrow.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/jack%20sparrow.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:30:32	7316/7316	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:30:31%20GMT	http://briefnarrative.pythonanywhere.com/MCU_2.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/MCU_2.html	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:30:33	4783/4783	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:30:32%20GMT	http://briefnarrative.pythonanywhere.com/MCU_3.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/MCU_3.html	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:30:51	441789/441789	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/harry.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/harry.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:31:46	497611/497611	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/wall-e%20minimalist%20poster%20by%20kazi%20ovi.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/wall-e%20minimalist%20poster%20by%20kazi%20ovi.jpg	(from http://briefnarrative.pythonanywhere.com/Movies.html)
22:31:57	400704/400704	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/2.hulk.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/2.hulk.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:31:59	528645/528645	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/1.iron%20man.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/1.iron%20man.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:33:05	484354/484354	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/3.iron%20man2.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/3.iron%20man2.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:33:09	419983/419983	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/5.captain%20america%201.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/5.captain%20america%201.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
